code_dept,annee,trimestre,taux_chomage
09,2009,2,10.2
10,2009,2,9.2
11,2009,2,11.5
12,2009,2,6.2
13,2009,2,11.0
14,2009,2,9.0
15,2009,2,6.1
16,2009,2,9.3
17,2009,2,9.5
18,2009,2,8.5
19,2009,2,6.7
2A,2009,2,7.5
2B,2009,2,8.4
21,2009,2,7.4
22,2009,2,7.3
23,2009,2,7.9
24,2009,2,8.7
25,2009,2,9.5
26,2009,2,9.5
27,2009,2,9.2
28,2009,2,8.3
29,2009,2,7.8
30,2009,2,11.8
31,2009,2,9.0
32,2009,2,6.5
33,2009,2,8.6
34,2009,2,12.2
35,2009,2,7.2
36,2009,2,7.9
37,2009,2,7.8
38,2009,2,8.1
39,2009,2,8.0
40,2009,2,7.9
41,2009,2,8.2
42,2009,2,9.4
43,2009,2,7.4
44,2009,2,7.9
45,2009,2,8.1
46,2009,2,8.1
47,2009,2,8.9
48,2009,2,4.9
49,2009,2,8.4
50,2009,2,8.1
51,2009,2,8.6
52,2009,2,9.7
53,2009,2,6.6
54,2009,2,8.7
55,2009,2,9.5
56,2009,2,8.2
57,2009,2,9.8
58,2009,2,9.0
59,2009,2,12.3
60,2009,2,9.2
61,2009,2,9.2
62,2009,2,12.3
63,2009,2,8.3
64,2009,2,7.7
65,2009,2,9.7
66,2009,2,11.8
67,2009,2,8.1
68,2009,2,9.0
69,2009,2,8.4
70,2009,2,9.0
71,2009,2,8.5
72,2009,2,8.8
73,2009,2,7.4
74,2009,2,7.5
75,2009,2,7.9
76,2009,2,10.1
77,2009,2,6.8
78,2009,2,6.3
79,2009,2,6.9
80,2009,2,11.0
81,2009,2,9.7
82,2009,2,9.2
84,2009,2,10.5
85,2009,2,7.7
86,2009,2,8.1
87,2009,2,8.1
88,2009,2,10.4
89,2009,2,8.8
90,2009,2,10.3
91,2009,2,6.2
92,2009,2,6.9
93,2009,2,10.6
94,2009,2,7.4
95,2009,2,8.7
83,2009,2,9.8
ZA,2009,2,
ZB,2009,2,
ZC,2009,2,
ZD,2009,2,
01,2009,3,6.9
02,2009,3,12.3
03,2009,3,9.0
04,2009,3,9.6
05,2009,3,7.5
06,2009,3,8.4
07,2009,3,9.0
08,2009,3,11.7
09,2009,3,10.2
10,2009,3,9.2
11,2009,3,11.5
12,2009,3,6.2
13,2009,3,11.1
14,2009,3,8.7
15,2009,3,6.0
16,2009,3,9.2
17,2009,3,9.6
18,2009,3,8.6
19,2009,3,6.6
2A,2009,3,7.8
2B,2009,3,8.5
21,2009,3,7.4
22,2009,3,7.4
23,2009,3,8.0
24,2009,3,8.9
25,2009,3,9.4
26,2009,3,9.4
27,2009,3,9.2
28,2009,3,8.2
29,2009,3,7.8
30,2009,3,11.9
31,2009,3,9.0
32,2009,3,6.6
33,2009,3,8.7
34,2009,3,12.2
35,2009,3,7.0
36,2009,3,7.8
37,2009,3,7.7
38,2009,3,8.0
39,2009,3,7.9
40,2009,3,8.0
41,2009,3,8.0
42,2009,3,9.2
43,2009,3,7.3
44,2009,3,8.0
45,2009,3,8.0
46,2009,3,8.1
47,2009,3,8.9
48,2009,3,5.0
49,2009,3,8.2
50,2009,3,7.8
51,2009,3,8.5
52,2009,3,9.3
53,2009,3,6.2
54,2009,3,8.8
55,2009,3,9.6
56,2009,3,8.0
57,2009,3,9.7
58,2009,3,8.9
59,2009,3,12.1
60,2009,3,9.1
61,2009,3,8.8
62,2009,3,12.0
63,2009,3,8.2
64,2009,3,7.8
65,2009,3,9.9
66,2009,3,12.0
67,2009,3,8.1
68,2009,3,8.8
69,2009,3,8.3
70,2009,3,8.8
71,2009,3,8.5
72,2009,3,8.8
73,2009,3,7.5
74,2009,3,7.5
75,2009,3,8.1
76,2009,3,10.1
77,2009,3,6.9
78,2009,3,6.4
79,2009,3,6.9
80,2009,3,11.0
81,2009,3,9.7
82,2009,3,9.2
84,2009,3,10.5
85,2009,3,7.7
86,2009,3,8.0
87,2009,3,8.3
88,2009,3,10.1
89,2009,3,8.7
90,2009,3,10.2
91,2009,3,6.4
92,2009,3,7.0
93,2009,3,10.8
94,2009,3,7.6
95,2009,3,8.8
83,2009,3,9.8
ZA,2009,3,
ZB,2009,3,
ZC,2009,3,
ZD,2009,3,
01,2009,4,7.3
02,2009,4,12.7
03,2009,4,9.5
04,2009,4,9.9
05,2009,4,7.8
06,2009,4,8.7
07,2009,4,9.8
08,2009,4,11.6
09,2009,4,10.6
10,2009,4,9.5
11,2009,4,12.0
12,2009,4,6.5
13,2009,4,11.6
14,2009,4,9.1
15,2009,4,6.1
16,2009,4,9.5
17,2009,4,10.0
18,2009,4,9.0
19,2009,4,6.6
2A,2009,4,8.2
2B,2009,4,8.8
21,2009,4,7.9
22,2009,4,7.7
23,2009,4,8.2
24,2009,4,9.1
25,2009,4,9.7
26,2009,4,10.1
27,2009,4,9.5
28,2009,4,8.6
29,2009,4,8.3
30,2009,4,12.3
31,2009,4,9.3
32,2009,4,6.9
33,2009,4,9.1
34,2009,4,12.8
35,2009,4,7.3
36,2009,4,8.4
37,2009,4,8.2
38,2009,4,8.3
39,2009,4,8.2
40,2009,4,8.1
41,2009,4,8.4
42,2009,4,9.5
43,2009,4,7.5
44,2009,4,8.5
45,2009,4,8.6
46,2009,4,8.4
47,2009,4,9.3
48,2009,4,5.0
49,2009,4,8.5
50,2009,4,8.1
51,2009,4,8.7
52,2009,4,9.3
53,2009,4,6.5
54,2009,4,9.2
55,2009,4,9.9
56,2009,4,8.3
57,2009,4,10.1
58,2009,4,9.3
59,2009,4,12.7
60,2009,4,9.4
61,2009,4,9.1
62,2009,4,12.4
63,2009,4,8.6
64,2009,4,8.0
65,2009,4,10.2
66,2009,4,12.4
67,2009,4,8.5
68,2009,4,9.2
69,2009,4,8.8
70,2009,4,9.1
71,2009,4,8.9
72,2009,4,9.0
73,2009,4,7.8
74,2009,4,7.7
75,2009,4,8.4
76,2009,4,10.5
77,2009,4,7.3
78,2009,4,6.8
79,2009,4,7.2
80,2009,4,11.4
81,2009,4,9.8
82,2009,4,9.7
84,2009,4,11.2
85,2009,4,7.9
86,2009,4,8.3
87,2009,4,8.6
88,2009,4,10.3
89,2009,4,8.9
90,2009,4,10.7
91,2009,4,6.8
92,2009,4,7.4
93,2009,4,11.3
94,2009,4,8.0
95,2009,4,9.3
83,2009,4,10.1
ZA,2009,4,
ZB,2009,4,
ZC,2009,4,
ZD,2009,4,
01,2010,1,7.0
02,2010,1,12.5
03,2010,1,9.2
04,2010,1,9.7
05,2010,1,7.5
06,2010,1,8.5
07,2010,1,9.4
08,2010,1,11.2
09,2010,1,10.2
10,2010,1,9.2
11,2010,1,11.8
12,2010,1,6.3
13,2010,1,11.3
14,2010,1,8.9
15,2010,1,5.7
16,2010,1,9.1
17,2010,1,9.7
18,2010,1,9.0
19,2010,1,6.5
2A,2010,1,8.0
2B,2010,1,8.7
21,2010,1,7.7
22,2010,1,7.6
23,2010,1,8.2
24,2010,1,8.9
25,2010,1,9.5
26,2010,1,9.7
27,2010,1,9.3
28,2010,1,8.5
29,2010,1,8.1
30,2010,1,12.0
31,2010,1,9.2
32,2010,1,6.7
33,2010,1,8.9
34,2010,1,12.4
35,2010,1,7.2
36,2010,1,8.3
37,2010,1,8.0
38,2010,1,8.0
39,2010,1,7.8
40,2010,1,7.9
41,2010,1,8.1
42,2010,1,9.3
43,2010,1,7.2
44,2010,1,8.2
45,2010,1,8.4
46,2010,1,8.3
47,2010,1,9.3
48,2010,1,4.8
49,2010,1,8.2
50,2010,1,7.9
51,2010,1,8.5
52,2010,1,8.9
53,2010,1,6.4
54,2010,1,8.9
55,2010,1,9.7
56,2010,1,8.2
57,2010,1,9.8
58,2010,1,9.1
59,2010,1,12.4
60,2010,1,9.2
61,2010,1,8.7
62,2010,1,12.0
